"product_id","product_category_name","date","total_revenue","total_quantity","revenue_rank","quantity_rank"
"5769ef0a-2391-14ac-3a85-4af00df129e4","telefonia_fixa","2017-10-06","13440.0","36","1","32"
"3db0b74f-af0d-26a6-b252-528659d6b849","cool_stuff","2018-07-18","9199.80","5","2","2108"
"fd0065af-7f09-af4b-82a0-ca8f3eed1852","automotivo","2017-06-22","7999.96","4","3","2454"
"588531f8-ec37-e7d5-ff5b-7b22ea0488f8","pcs","2017-11-08","7185.0","6","4","1201"
"19936fa4-f614-ee05-90d3-b77ac83fd648","telefonia_fixa","2018-07-23","7160.0","10","5","524"
"489ae2aa-008f-0215-0294-0f251d4cce7f","utilidades_domesticas","2017-02-16","6735.0","1","6","15610"
"69c590f7-ffc7-bf8d-b971-90b6cb6ed62e","pcs","2018-08-02","6729.0","1","7","15610"
"d6160fb7-873f-1840-99d9-bc95e30376af","pcs","2017-09-08","6500.0","5","8","2108"
"1bdf5e67-3158-5cf0-1aa8-169c7028d6ad","artes","2017-06-15","6499.0","1","9","15610"
"d6160fb7-873f-1840-99d9-bc95e30376af","pcs","2017-09-21","5999.96","4","10","2454"
